why_peer_learning,count
I had a time conflict,1
To better my understanding on the topics thought in the course,1
I attended the peer learning room because even if I am confident in the class I always find it helpful to get extra support and more practice so that I can do better on the homework/tests.,1
I didn't know that was an option,1
"I forgot to put the dates on my calendar, and my schedule got very hectic so I missed it.",1
"I didn't put the date into my calendar and due to my schedule, I forgot about it and missed it.",1
I attended different learning resources,1
"I did not know about it, but even if I had, I don't think I would have attended since I don't need the extra help.",1
I did not wish to attend.,1
Attended TA office hours as the maine ay to seek help.,1
"I was not aware of it, only the online Ochem tutoring which I tried.",1
Time interference,1
I don't have the time to.,1
"I didn't know there was a peer learning session. But also, I went to professor office hours and TA hours when I had questions on the homework or on exams.",1
"I didn't know about it, but even if I did, I probably wouldn't have attended anyway because I don't have the time.",1
didn't know about or need it,1
I didn’t know it exists.,1
I wasn’t aware.,1
I wanted to but it got full after first enrollment.,1
Attended labs which were well ran by the TA,1
To get extra help/make sure i was doing the homework correctly,1
It did not fit into my schedule.,1
"It never really crossed my mind, I probably should have",1
I don't have time and I am most efficiently studying when I am in my own space,1
I didn't know it was occuring.,1
I did not attend because I did not know peer learning was a thing. I only knew of TA office hours for extra help.,1
i dont have much time to attend,1
I felt no need to.,1
No time. Needed to go to work and do other extracurrilars.,1
I was not aware of them,1
I didn't think that I needed it,1
I did not remember that it was happening.,1
I didn't know this was available????,1
I was very preoccupied with many courses this quarter Andy plate was to full,1
I was not able to join because of schedule conflicts.,1
Thanks you! It was great,1
I had not been aware that there had been peer learning Chemistry available for my specific course. I have however attended AAP classes for chemistry.,1
I was not aware that there was peer learning available for my course in that room. I have however attended PLF lessons through AAP.,1
I like peer learning,1
I needed extra support as a transfer student that last took organic chemistry more a year ago.,1
For help with midterm and final concept review.,1
didn’t know about this,1
It is hard to find time to go to one. I also have not heard of them much,1
I wasn't aware it was an available,1
Not aware of it but also wasn't really looking for help.,1
I did not know the chemistry peer learning was available.,1
"I wasn't sure about the format of the peer learning sessions, and I also did not find the time to go to them.",1
Tutors were so friendly and helpful :),1
Could not make the time,1
I've never heard of that before.,1
idk what that is,1
Unavailable space to join.,1
Chemistry peer learning sessions did not fit in well with my schedule.,1
hard to find,1
I did not have the time to go to peer learning.,1
N/A I have plf for chem 14D in Campbell hall,1
The timing didn’t fit my schedule,1
I don’t know what this is,1
Didn't fit in schedule,1
I attended to broaden some of my chem 14B content due to not taking it for a while.,1
Did not have time with my other courses,1
I was unable to with my schedule,1
I didn’t know about this resource,1
"I did not know it existed. When I needed help, I just went to office hours and it worked for me.",1
I was not aware of this opportunity.,1
I had other commitments hat conflicted,1
I didnt know,1
It did not fit my schedule because of work and other commitments,1
wasn't aware of it,1
I felt like I did not need additional support,1
I felt like I did not need additional support.,1
"Don't have time, I work to support myself and my family, as well as have an internship. I am also heavily involved in my faith so I'm never on campus when peer learning is happening. I went once on a random day off but I wish I had gone more it was very helpful.",1
I didn’t know it existed/I never felt the need to seek outside help,1
I wasn't really aware it existed.,1
Didn’t feel like I need,1
"Didn't have time. I would either have schedule conflicts or had to focus on other class homework, so I could not attend the peer learning sessions.",1
I don’t study well in groups.,1
Scheduling issues,1
I did not see the need to; I have my own sources for studying and study with friends. I attend discussion every week and seek help at TA office hours as well.,1
i don't know what that is,1
I found the most help at office hours with Dr. Henary or my TA. I did not feel the need to seek extra help from peer learning. I have many friends to also ask for help.,1
Couldn't fit into the schedule/didn't know about it at first,1
I wasn't completely aware of the time / location of the peer learning?,1
Didn’t have time,1
I didn’t know we had one,1
I did not believe I needed to to earn an A in this class.,1
I didn't know about this program.,1
I hadn't heard of it and I don't know what that is.,1
